book_id,Title,Authors,Description,Category
10,Codebreakers' Victory: How the Allied Cryptogaphers Won World War II,"By Haufler, Hervie","For the first time ever, veteran World War II cryptographer Hervie Haufler details how American and British codebreakers were the decisive factor in the Allied victory. From the Purple Machine to the Navajo Talkers to the breaking of Japan's JN-25 Naval Code to the shadowy world of decoding units like Hut-8 in Bletchley Park, he shows how crucial information-often obtained by surreptitious and violent means-was the decisive edge in the Battle of Britain, at Midway and against the U-Boats in the North Atlantic, and how Allied intelligence saved the Soviet Union from almost certain defeat.  In an accessible account based on years of research, interviews and exclusive access to previously top-secret archives, Haufler demonstrates how cryptography enabled Nimitz and MacArthur to persevere in the Pacific and helped Eisenhower and Patton mount the assaults on Normandy. In compelling detail, Haufler shows us how it was done-as only one who was on the frontlines of the ""secret war"" could tell it."," History , Military , World War II"
11,Best New American Voices 2003,"By Kulka, John (EDT), Danford, Natalie (EDT), and Oates, Joyce Carol (EDT)","Since its launch in 2000, the Best New American Voices series has been acclaimed for the range and originality of its selections, which represent the writers who promise to become the literary stars of tomorrow. The 2003 collection continues the tradition, featuring innovative, powerful stories selected by one of our finest writers of contemporary fiction, Joyce Carol Oates. With pieces culled from more than one hundred prestigious writing programs around the country and Canada, including the Iowa Writers' Workshop and the Sewanee Conference, this volume showcases a remarkable array of talent--and offers the excitement of discovering a new generation of writers.A Harvest Original"," Fiction , Anthologies (multiple authors)"
12,Meditations: On the Monk Who Dwells in Daily Life,"By Moore, Thomas","Sometimes in their chanting monks will land upon a note and sing it in florid fashion, one syllable of text for fifty notes of chant. Melisma, they call it.Living a melismatic life in imitation of plainchant, we may stop on an experience, a place, a person, or a memory and rhapsodize in imagination. Some like to meditate or contemplate melismatically, while others prefer to draw, build, paint, or dance whatever their eye has fallen upon.Living one point after another, is one form of experience, and it can be emphatically productive. But stopping for melisma gives the soul its reason for being."," Religion , General"
13,Jackie by Josie: A Novel,"By Preston, Caroline","Follows a thirtyish graduate who unexpectedly finds herself helping a celebrity biographer research the life of Jacqueline Kennedy Onassis, and ends up discovering surprising parallels between her own life and that of the queen of Camelot"," Fiction , Literary"
14,Joshua and the City,"By Girzone, Joseph F.","A contemporary city faces turmoil and devastation until it is visited by the serene figure of Joshua, who presents an alternative, love-based approach to life while addressing such issues as poverty, racism, and AIDS. 150,000 first printing. $150,000 ad/promo."," Religion , Inspirational"
15,How Good Do We Have to Be? A New Understanding of Guilt and Forgiveness,"By Kushner, Harold S.","From the author of When Bad Things Happen to Good People comes an inspiring new bestseller that puts human feelings of guilt and inadequacy in perspective - and teaches us how we can learn to accept ourselves and others even when we and they are less than perfect. How Good Do We Have to Be? is for everyone who experiences that sense of guilt and disappointment. Harold Kushner, writing with his customary generosity and wisdom, shows us how human life is too complex for anyone to live it without making mistakes, and why we need not fear the loss of God's love when we are less than perfect. Harold Kushner begins by offering a radically new interpretation of the story of Adam and Eve, which he sees as a tale of Paradise Outgrown rather than Paradise Lost: eating from the Tree of Knowledge was not an act of disobedience, but a brave step forward toward becoming human, complete with the richness of work, sexuality and child-rearing, and a sense of our mortality. Drawing on modern literature, psychology, theology,,and his own thirty years of experience as a congregational rabbi, Harold Kushner reveals how acceptance and forgiveness can change our relationships with the most important people in our lives and help us meet the bold and rewarding challenge of being human."," Religion , Psychology of Religion"
16,Written by Herself: Autobiographies of American Women: An Anthology,"By Conway, Jill Ker (EDT)","The bestselling author of The Road from Coorain presents an extraordinarily powerful anthology of the autobiographical writings of 25 women, literary predecessors and contemporaries that include Jane Addams, Zora Neale Hurst, Harriet Jacobs, Ellen Glasgow, Maya Angelou, Sara Josephine Baker, Margaret Mead, Gloria Steinem, and Maxine Hong Kingston."," Biography & Autobiography , Women"
17,George Meany And His Times: A Biography,"By Robinson, Archie",Draws on interviews and unpublished documents to re-create the life and times of the outspoken and influential labor leader and the drama of the labor movement in which he played a central role," Biography & Autobiography , General"
18,Conflicting Accounts: The Creation and Crash of the Saatchi and Saatchi Advertising Empire,"By Goldman, Kevin","On December 16, 1994, a bloodletting took place in the stylish sixth-floor boardroom at Saatchi & Saatchi Company PLC, once the world's largest advertising agency holding company. Maurice Saatchi, the 48 year-old chairman who co-founded the company in 1970 with his older brother Charles, was fired by the board of directors under threat by the firm's largest shareholders. Less than a month later, Maurice started a rival ad agency and quickly snapped up former Saatchi & Saatchi clients, most importantly British Airways. Kevin Goldman, the former daily advertising columnist for the Wall Street Journal, spoke to everyone connected with this headline-making saga -- including Maurice Saatchi and his reclusive brother Charles -- and witnessed important business meetings, including Maurice Saatchi's winning pitch to British Airways. Goldman traces every step the Saatchi brothers took, from their youth as Iraqi Jewish immigrants in North London to their business merger in 1970, when, with little more than sheer audacity, the opened an ad agency with a full-page announcement ad in the London Sunday Times. Through bold and brash actions, the agency began an acquisitions binge, taking over many of the ad industry's giants -- including Ted Bates, Backer & Spielvogel, Dancer Fitzgerald Sample, and Garland-Compton -- to become the number one ad company in the world. But, once they acquired a company, the brothers lost interest, often refusing to meet with its executives again. This disdain would come back to haunt them. Also chronicled is the brothers' rich lifestyle, which critics claim was funded by the company. This tale features a rich cast of supporting players: Jeremy Sinclair, a creative advertising genius who was fiercely loyal to the brothers, was one of the executives who resigned after Maurice was fired. Bill Muirhead, another loyalist, was responsible for keeping clients happy. Robert Louis-Dreyfus, a globe-trotting native of France, was brought in by the Saatchis in 1989 when the company was teetering on the edge of bankruptcy. Louis-Dreyfus brought in Charles Scott, a self-described numbers cruncher uncomfortable with the glitzy world of advertising, to help sort out the company's complex finances. And leading the anti-Maurice movement was David Herro, a thirty-three-year-old American money manager whose group owned approximately 10 percent of Saatchi stock. Built into the Saatchi story is the bigger picture of the dramatic changes in advertising in the 1980s, such as the merger mania and ad agency consolidations that swept Madison Avenue, including the British takeover of major agencies. The story of the decline and crash of Saatchi & Saatchi is a universal tale of corporate greed and ineffective management. It is the story of an ugly, publicly fought civil war in an industry that is supposed to know the steep price paid for an image run amok."," Business & Economics , Advertising & Promotion"
19,Panic Disorder and Its Treatment (Medical Psychiatry Series),"By Pollack, Mark H. (EDT) and Rosenbaum, J. F. (EDT)","Practical in approach and up to date in content, Panic Disorder and Its Treatment provides a clear and clinically relevant summary of the current knowledge on this challenging illness, covering symptoms, care, cost, comorbidities, and quality of life. Contains algorithms and tables offering at-a-glance drug treatment options and an appendix with measures for assessing symptom severity and therapeutic response! Written by leading authorities on the etiology, course, and management of this condition, Panic Disorder and Its Treatmentpromotes improved recognition of symptoms in pychiatric and nonpsychiatric settings, including the primary care physician's office or the emergency room reviews evidence from numerous sources on the prognosis of panic disorder, emphasizing the potential for chronicity and recurrence examines the latest advances implicating neurochemical, neurophysiological, and functional neuroanatomical abnormalities in the pathogenesis of panic disorder analyzes risk factors for the illness, including genetics, temperment, developmental experiences, and life events explores available pharmacotherapies for panic disorders, including selective serotonin-reuptake inhibitors investigates panic attacks and panic disorder from a cognitive-behavioral perspective, detailing specific therapies targeted to control physical sensations presents clinical strategies for treatment-refractory patients, assuring optimal diagnostic and therapeutic efforts for nonresponders and more! Panic Disorder and Its Treatment serves as insightful reading for psychiatrists and behavioral scientists, clinical psychopharmacologists, neuropsychiatrists, clinical psychologists, clinical social workers, and medical students, residents, and fellows in these disciplines. It is also useful for primary care physicians, including internists, family doctors, and generalists, as well as emergency room staff, who are often the first health care professionals to evaluate the patient."," Psychology , Psychopathology , General"
20,Henry VIII (English Monarchs Series),"By Scarisbrick, J. J.","This detailed biography concentrates on the domestic life of the monarch, foreign affairs in which he was involved and his influence on religion. Bibliogs"," Biography & Autobiography , Military"
21,The Moral Intelligence of Children,"By Coles, Robert","The award-winning author of The Spiritual Life of Children shares his thoughts on how to teach morality to children, defining moral intelligence and explaining how to foster a child's conscience and spiritual growth. 75,000 first printing. Tour."," Psychology , General"
22,Becoming Soul Mates: Cultivating Spiritual Intimacy in the Early Years of Marriage,"By Parrott, Les","Every couple has a restless aching, not just to know God individually but to experience God together. But how? How do you really allow God to fill the soul of your marriage? Becoming Soul Mates gives you a road map for cultivating rich spiritual intimacy in your relationship. Written by the creators of the dynamic Saving Your Marriage Before It Starts book and program, becoming Soul Mates is a unique and insightful devotional that helps you dig deep for a strong spiritual foundation in your marriage. Fifty-two practical weekly devotions help you and your partner cross the hurdles of marriage to grow closer than you&apos;ve ever imagined. In each session, you&apos;ll find: - An insightful devotion that focuses on marriage-related topics - A key passage of Scripture - Questions that will spark discussions on crucial issues - Insights from real-life soul mates like Pat and Shirley Boone, Bill and Vonette Bright, Norm and Joyce Wright, and John and Barbi Townsend - Questions that will help you and your partner better understand each other&apos;s unique needs and remember them in prayer during the week - A brief prayer that will help you both draw closer together and close to God. Becoming Soul Mates is a valuable resource for mining the rich potential of your marriage. Its principles, proven in the Parrotts&apos; own relationship, will help you make your journey as a couple all God intends it to be. With the strength that comes from a deeply shared spiritual intimacy, your marriage can flourish in the midst of life&apos;s challenges. Start building on the closeness you&apos;ve got today -- and reap the rewards of a deeper, more satisfying relationship in the years ahead."," Family & Relationships , Reference"
23,Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life,"By Moore, Thomas","A therapist draws on the world's religions, music, art, and his own experiences with patients to examine the connections between spirituality and the problems of individuals and society. Reprint. 150,000 first printing. $200,000 ad/promo."," Self-help , General"
24,Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge,"By Moore, Geoffrey A.","""The chasm is where high-tech fortunes are lost... the tornado is where they are made.""-- Steve Jobs, Founder & CEO, Next Computer, Inc.    Now, in this fascinating sequel, Moore shows how to capitalize on the profit-rich niches and hyper-growth markets beyond the chasm. Continuing to chart the impact of the Technology Adoption Life Cycle, he explores its effects not just on marketing but on overall business planning, especially strategic partnerships, competitive advantage, positioning and organizational leadership. Moore's most startling lesson is: ""As markets move from stage to stage in the Life Cycle, the winning strategy does not just change -- it actually reverses the prior strategy. The very skills that you've just perfected become your biggest liabilities; and if you can't put them aside to acquire new ones, then you're in for tough times."" As challenging as this lesson is to apply, Moore leads the way. Using actual examples of cutting-edge firms, he applies the Life Cycle model to all aspects of managing a market-focused business strategy, including how to manage people effectively through each phase of the cycle. There are significant management implications: Chasm-crossers who love the customer intimacy of niches may rebel against the depersonalizing power of the tornado; tornado managers who relish the gales of hyper-growth may resist the inevitable return to the niche, in the guise of mass customization, once the rush to the new paradigm subsides. All industries relying on technology -- not just computer hardware, software and telecommunications, but entertainment, publishing, broadcasting, banking, insurance, health care, aerospace, defense, utilities, pharmaceuticals and retail -- must master Moore's lessons to see the year 2000. If you are marketing technology-based products or managing the people who do, then you will find yourself Inside the Tornado."," Business & Economics , Marketing , General"
25,Sunset at Rosalie: A Novel,"By McLaughlin, Ann L.",Tells the story of a young girl and her family's country life in Mississippi during the years prior to World War I," Fiction , General"
26,"The Girlfriends' Guide to Surviving the First Year of Motherhood, Packaging May Vary","By Iovine, Vicki","When it comes to your new baby, everyone from Dr. Spock to Dr. Brazleton has an armful of advice. But no one's delivering any tips on how you can care for yourself. Now, four-time delivery room veteran Vicki Iovine answers your questions, calms your fears, and cracks you up as only a girlfriend can, with straight advice and hilarious observations on... ""Baby euphoria"": Is it a mind-altering drug?""Husband? What Husband?"": Taking care of the big baby, as well as the little baby""I Want My Old Body Back!"": What you can fix and what you can't""The Droning Phenomenon"": The inability to discuss anything but your baby for more than thirty seconds""Do I Have to Become Carol Brady?"": Conquering your fear of being a less-than-perfect mother""Competitive Mothering"": Coping with know-it-alls, finger-pointers, and others who try to ""Out-Mom"" youNOTE: Pausing to read this book may be the only selfish thing you do all year, since you'll have time for nothing else!"," Family & Relationships , Parenting , Motherhood"
27,"Sherlock Holmes and the Red Demon by John H. Watson, M.D.","By Watson, John H. and Millett, Larry (EDT)","It is the story of how the world's most beloved private detective, Sherlock Holmes, and Watson traveled to Minnesota in 1894 to find and stop a murderous arsonist, known only as the Red Demon, who is threatening both Hill and his Great Northern Railway. Homes's pursuit of this malignant and cunning villain presents the great man ""with the most remarkable case of his celebrated career.""In Minnesota, Holmes comes face-to-face with all manner of frontier characters, including two-fisted railroad men, rough-and-tumble lumberjacks, a one-eyed teamster, and an unsavory town marshal. But he also encounters the proprietress of the North Woods' most opulent sporting house, Mary Robinson, a woman as clever as she is beautiful. In response to a churlish remark from Dr. Watson about the morality of her establishment, she replies: ""Morality is a matter of power, nothing more and nothing less. The rich impose it on the poor, men impose it on women, and the forces of reaction impose it upon those who seek a better world.""Needless to say, Holmes becomes especially attentive to this suspect's articulate charm. But charm gives way to terror in the exciting climax of the tale, a chase on the rails that ends with Holmes and the Red Demon squared off on a lonely bridge in a fiery circle of death. ""Never,"" says Watson, ""was Holmes more magnificent than at that moment."""," Fiction , Mystery & Detective , General"
28,"New Lands, New Men","By Goetzmann, William H.",Examines the adventures of the explorers during the seventeenth through the nineteenth centuries and shows how the impetus to explore transcended national interests and imperialist ambitions," Biography & Autobiography , Adventurers & Explorers"
29,Reinventing Government: How the Entrepreneurial Spirit is Transforming the Public Sector (Plume),"By Osborne, David and Gaebler, Ted",Describes how decentralization and entrepreneurship can revitalize government and outlines ten principles guiding an entrepreneurial public organization," Political Science , American Government , General"
30,Proverbs For The People,"By Price-Thompson, Tracy (EDT) and Stovall, Taressa (EDT)","Featuring contributions from such noted writers as Pearl Cleage, Omar Tyree, Timmothy McCann, and Earl Sewell, a dramatically rendered anthology of stories, drawn from African, African-American, and Biblical proverbs, is filled with an abundance of wit, inspiration, and wisdom."," Fiction , Anthologies (multiple authors)"
31,Re-Inventing the Corporation: Transforming Your Job and Your Company for the New Information Society,"By Naisbitt, John and Aburdene, Patricia",Describes how the new information society is altering the nature of the workplace and how some corporations are responding," Business & Economics , General"
32,Elvis in the Morning,"By Buckley, William F.","This is a novel about friendship, a novel that spans the decades that changed America forever. Orson is a young boy whose mother works at a U.S. Army base in Germany in the 1950s. There, he becomes a fan of a G.I. stationed at the base, one Elvis Presley, whose music is played over and over on the radio. When Orson is caught stealing recordings of Elvis's tunes from the PX, the attendant publicity catches the star's attention, and he comes to visit his young fan. Thus begins a lifelong friendship. As Elvis's career rockets ever higher and his behavior becomes ever more erratic, the two share many adventures. The sixties explode, and Elvis becomes the icon of the nation, while Orson, a college demonstrator, drifts away from regular life while looking for something of substance to believe in. Each man is an emblem of his time, as social conventions crumble, barriers fall, and the cultural landscape changes forever.A panorama of change and dissent, of the ability of friends to stay true despite distance and time, Elvis in the Morning portrays a nation in change and the effects of celebrity on innocence."," Fiction , Fantasy , Historical"
33,"Fat Free, Flavor Full: Dr. Gabe Mirkin's Guide to Losing Weight and Living Longer","By Mirkin, Gabe and Rich, Diana","A collection of 250 appetizing, meatless recipes provides a plan that lowers cholesterol and reduces the risk of heart disease, cancer, and diabetes by cutting down on fat intake without compromising on taste and variety. 35,000 first printing. Tour."," Health & Fitness , Diet & Nutrition , Diets"
34,ON THE WING: The Life of Birds: From Feathers to Flight,"By Brooks, Bruce",Takes a close-up look at the remarkable physiology and behavior of birds," Science , General"
35,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,"By Mezrich, Ben","The #1 national bestseller, now a major motion picture, 21—the amazing inside story about a gambling ring of M.I.T. students who beat the system in Vegas—and lived to tell how.Robin Hood meets the Rat Pack when the best and the brightest of M.I.T.’s math students and engineers take up blackjack under the guidance of an eccentric mastermind. Their small blackjack club develops from an experiment in counting cards on M.I.T.’s campus into a ring of card savants with a system for playing large and winning big. In less than two years they take some of the world’s most sophisticated casinos for more than three million dollars. But their success also brings with it the formidable ire of casino owners and launches them into the seedy underworld of corporate Vegas with its private investigators and other violent heavies."," Games & Activities , Gambling , Table"
36,"Trust Me, Mom-Everyone Else Is Going!: The New Rules for Mothering Adolescent Girls","By Cohen-Sandler, Roni, Ph.D.","From ""queen bees"" to ""gamma girls"" to the ""odd girl out,"" adolescent girls are all over the news. But whether a girl is popular or struggling to fit in, outgoing or reserved, her mother worries about how she is coping with her new, often scary, teenage social world: Who is she with, what is she really doing, is she safe and, of course, is she happy? In this essential survival guide, Roni Cohen-Sandler teaches parents to ""use their BRAIN""—Be flexible, Respectful, Attuned, Involved, and Non-controlling—to build trust and help their daughters navigate these complex social waters. Addressing such issues as popularity, boyfriends, parties and partying, discipline, privacy, body image, and identity, Cohen-Sandler provides a new model for parenting adolescent daughters for today's generation of mothers."," Family & Relationships , Parenting , General"
37,The Quotable Ronald Reagan,"By Reagan, Ronald and Hannaford, Peter","The Quotable Ronald Reagan presents the best of the Great Communicator, with hundreds of quotations from his public life. Following Reagan from his October 1964 nationally televised speech on behalf of Barry Goldwater's presidential candidacy to his valedictory letter of November 1994, telling the country that he had been diagnosed with Alzheimer's disease, The Quotable Ronald Reagan is the essential collection of this speaker's words."," Reference , Quotations"
38,Leadership Is an Art,"By De Pree, Max","Explores leadership as an art that must be felt, experienced, and created and discusses how to apply leadership abilities and a sense of integrity to business management situations"," Business & Economics , General"
39,Dark Fields of the Republic: Poems 1991-1995,"By Rich, Adrienne Cecile","A theater of voices of men and women, the dead and the living, over time and across continents, the poems of Dark Fields of the Republic take conversations, imaginary and real, actions taken for better or worse, out of histories and songs to extend the poet's reach of witness and power of connection--and then invites the reader to participate."," Poetry , American , General"
40,Creating an Inclusive School,"By Villa, Richard A. (EDT) and Thousand, Jacqueline S. (EDT)","Provides information the history, legal aspects, rationales, and facilitation of inclusive education."," Education , Special Education , General"
41,North Carolina Ghosts and Legends,"By Roberts, Nancy","This collection of tales was originally published as An Illustrated Guide to Ghosts and Mysterious Occurences in the Old North State. To her group of classic stories, Mrs. Roberts has added three new tales about the Carolina coastal areas. The mountains, Piedmont, eastern Carolina, and the Outer Banks all provide settings for the unique and haunting accounts found in this book. Six of the stories take place in the Outer Banks—a particularly inspiring location, and the perfect place to meet the ghost on Blackbeard's last voyage."," Social Science , Folklore & Mythology"
42,Straight Talk about Death for Teenagers: How to Cope with Losing Someone You Love,"By Grollman, Earl A.","Addresses issues of death particularly affecting teenagers, such as normal reactions to the shock of death, how grief can alter relationships, how to work through grief, and more. By the author of Living When a Loved One Has Died. Simultaneous."," Young Adult Nonfiction , Social Topics , Death & Dying"
43,Understanding Thomas Jefferson,"By Halliday, E. M.","Recent biographies of Thomas Jefferson have stressed the sphinxlike puzzles of his character—famous champion of freedom yet lifelong slaveholder, foe of miscegenation yet secret lover of a beautiful slave for 30 years, aristocrat yet fervent advocate of government by the people. E. M. Halliday's absorbing and lucid portrait recognizes these and other puzzles about this great founder, but shows us how understandable they can be in light of his personal and social circumstances. Halliday takes readers deep into Jefferson's private life—exploring his childhood, his literary taste, and his unconventional religious thinking and moral philosophy. Here, too, are his adamant opinions on women, the evolution of his ideas on democracy and freedom of expression, and fresh insights into his relationship with Sally Hemings."," Biography & Autobiography , Presidents & Heads of State"
44,"Hey Mom! I'm Hungry!: Great-Tasting, Low-Fat, Easy Recipes to Feed Your Family","By Powter, Susan","Susan Powter answers ""What's for breakfast? What's for dinner? What's for lunch? What can I snack on?"" with 100 of the best tasting, high-volume, low-fat recipes ever!Something sweet. Something chewy. Something for those nights when you didn't get to the grocery store or it's dinnertime and you don't have a clue what to cook. These recipes have all been tested by moms and kids for the whole family. They're all low-fat, quick, easy, and taste soooooooo good. Everything you need is right here - healthy, hearty, great recipes so you'll always have an answer when the kids say, ""Hey, Mom! I'm hungry!"""," Cooking , Health & Healing , Low Fat"
45,Going the Other Way: Lessons from a Life In and Out of Major League Baseball,"By Bean, Billy and Bull, Chris","Last spring Billy Bean, the only living openly gay former major leaguer, gained national attention with his breakthrough memoir, Going the Other Way?an unprecedented chronicle of America’s national pastime that went on to sell more than 25,000 copies. Bean brings us inside the clubhouse and onto the playing field, offering dead-on insight into the game and the physical and emotional demands it makes on players. Bean faced an agonizing choice, in secrecy and solitude, between continuing to play the game he loved and the honesty of a loving relationship. By turns heartbreaking and farcical, ruminative and uncensored, the book culminates in a respectful, deeply felt appeal to Major League Baseball and other professional team sports to live up to their promise of equality and opportunity. A testament to the power of the single voice, Going the Other Way is an exemplary American tale that points the way toward a more perfect game, one in which all men and women can pursue their athletic dreams free of prejudice and discrimination. An eight-page photo insert is featured in this New York Times bestseller."," Sports & Recreation , Baseball , Essays & Writings"
